age,gender,region,monthly_income,monthly_expenses,transaction_count,loan_amount,num_loans,prev_defaults,default
56,Female,Rural,20795,18203.052000897103,76,46732,4,1,0
36,Female,Rural,42194,26566.373873803903,28,43090,5,4,0
19,Male,Rural,64735,52838.08717610765,42,4433,4,0,0
29,Female,Mombasa,90305,59816.06477927462,53,43434,9,3,1
33,Female,Kisumu,64150,40288.44474376143,51,37773,2,2,1
20,Female,Kisumu,74092,52143.90658354069,25,16502,1,1,0
42,Male,Mombasa,78969,46805.57789453732,57,25483,6,3,0
25,Female,Kisumu,85077,50665.9316552543,54,5943,3,1,0
23,Female,Rural,83953,57411.27281073587,67,8873,1,1,0
53,Female,Mombasa,37606,32376.401241139665,76,42397,6,3,1
57,Male,Mombasa,94812,56350.43559501958,57,23271,9,0,0
62,Female,Nairobi,43044,34482.48341978844,69,42774,8,0,0
61,Male,Mombasa,7695,3099.2463456330606,15,24002,0,0,0
25,Male,Rural,18986,15095.536406262736,9,5561,6,1,0
58,Female,Mombasa,57251,47607.1671174018,76,15067,1,0,0
40,Female,Mombasa,82373,46342.36289265462,48,12965,2,0,0
52,Female,Rural,13110,9919.319580246733,5,19412,9,2,1
26,Female,Mombasa,5206,3195.289270787305,46,25419,2,2,1
49,Male,Nairobi,59268,38778.1838619748,27,8374,3,0,0
49,Male,Nairobi,86734,47259.25125851137,32,45585,9,4,0
23,Female,Nairobi,74163,45110.013631954986,66,23834,9,3,0
42,Female,Rural,49262,42040.89134371347,5,3306,8,3,0
30,Female,Kisumu,60016,33152.27599480614,74,23959,8,4,1
50,Female,Nairobi,18545,10548.53667684014,63,30021,7,0,0
29,Female,Nairobi,57733,43193.06729192975,7,25664,4,0,0
34,Male,Kisumu,31736,28191.326119152538,58,2854,4,0,0
18,Male,Mombasa,51717,24433.564049970893,48,40559,5,3,1
28,Male,Nairobi,17688,13515.545387123286,28,42772,3,1,1
23,Female,Kisumu,94045,62811.46508190533,20,27184,8,3,0
23,Female,Rural,56663,23820.420922958794,24,4811,3,2,1
43,Female,Kisumu,39754,31992.052294119123,24,4911,6,3,1
58,Male,Rural,89896,53828.46720384196,43,37153,7,0,0
28,Male,Kisumu,13155,10097.884024306179,54,49254,9,2,1
24,Male,Rural,51843,25272.29414271731,64,47936,1,0,0
29,Male,Mombasa,25932,22047.620529179745,13,9400,2,2,1
33,Female,Rural,71690,59370.94424237023,58,14183,3,2,0
25,Female,Nairobi,10539,8950.531296443445,29,48940,1,1,0
63,Female,Mombasa,82505,61544.40664281783,65,48760,3,0,0
21,Female,Rural,28328,18326.71058185817,52,5987,7,2,1
34,Male,Kisumu,75271,51496.97844083214,63,42818,5,4,0
25,Male,Rural,24738,15268.223906998492,25,34352,0,0,0
22,Female,Nairobi,98179,74736.41311212967,23,39410,0,0,0
34,Female,Mombasa,61491,53511.26940522253,50,38212,5,2,0
58,Female,Rural,38828,33553.576574078106,50,47236,2,0,1
38,Male,Nairobi,11102,5931.10393059726,71,28641,8,1,0
48,Female,Kisumu,28093,21013.98253899501,50,38631,1,1,0
64,Male,Rural,16093,9323.051325699582,31,12729,1,1,0
34,Female,Nairobi,32751,24514.38126666801,47,14533,6,4,0
59,Female,Kisumu,24190,14753.249458717715,54,31592,7,4,1
24,Female,Mombasa,94912,67762.15735580247,24,4368,7,3,0
40,Female,Mombasa,18403,12687.625336012803,36,12966,5,2,0
42,Male,Kisumu,57921,38883.65994344877,26,33289,5,0,0
59,Female,Rural,58006,33649.009172850856,64,29236,0,0,0
25,Male,Nairobi,24508,13130.686890455116,9,23606,3,1,0
62,Male,Kisumu,63335,42160.672795184335,51,17202,6,3,0
33,Female,Nairobi,99476,88013.22469652405,34,28258,0,0,1
36,Female,Rural,33251,25670.480961181795,66,3150,8,3,0
18,Male,Mombasa,71617,61419.230765712826,38,48175,5,0,0
57,Male,Rural,61556,33238.20548020223,20,15500,6,4,0
39,Female,Kisumu,64638,27397.3375308664,30,3679,2,0,0
39,Male,Rural,89664,51192.749218229714,73,46078,0,0,0
47,Female,Nairobi,83781,62988.97955835888,20,45225,9,4,1
56,Female,Rural,96747,47077.180654092124,27,40649,9,4,0
53,Female,Kisumu,73385,38926.839274465834,14,25289,2,1,0
49,Male,Kisumu,65160,43636.917268874044,8,29663,7,1,0
45,Female,Nairobi,96007,68952.4000899996,28,8833,2,0,0
50,Male,Kisumu,75588,50856.240935406444,16,42770,0,0,0
50,Male,Rural,74449,37473.32195423191,33,45404,1,0,0
52,Female,Kisumu,32350,14091.476388844205,12,25132,9,1,0
43,Female,Rural,81797,66029.3392351636,11,5267,9,4,0
62,Male,Rural,16338,13703.268878502497,40,35496,4,4,1
53,Female,Nairobi,49425,30235.02566178938,28,49295,2,0,0
52,Female,Kisumu,90999,42209.41884385748,28,25190,4,3,0
30,Female,Nairobi,48286,37531.32860902649,34,48352,0,0,0
37,Female,Nairobi,51959,30905.683070931802,17,2698,2,0,0
53,Female,Rural,21779,19149.637630309586,23,38939,8,3,1
31,Female,Rural,56934,49834.53365187141,20,23364,4,2,0
29,Male,Mombasa,94112,63699.850831184005,57,3167,8,4,0
